"country","year","age","gender","value"
"COD",1980,0,"Both",1106929
"COD",1981,27,"Both",390256
"COD",1981,28,"Both",377420.5
"COD",1981,29,"Both",364702.5
"COD",1981,30,"Both",352916
"COD",1981,31,"Both",343867
"COD",1981,32,"Both",339751
"COD",1981,33,"Both",339279
"COD",1981,34,"Both",335748.5
"COD",1981,35,"Both",326802.5
"COD",1981,36,"Both",316238
"COD",1981,37,"Both",304964
"COD",1981,38,"Both",293538
"COD",1981,39,"Both",282392.5
"COD",1981,40,"Both",271782.5
"COD",1981,41,"Both",261812
"COD",1981,42,"Both",252525
"COD",1981,43,"Both",243212
"COD",1981,44,"Both",233294
"COD",1981,45,"Both",223360
"COD",1981,46,"Both",214046
"COD",1981,47,"Both",205368
"COD",1981,48,"Both",196968
"COD",1981,49,"Both",188677
"COD",1981,50,"Both",180576
"COD",1981,51,"Both",172790.5
"COD",1981,52,"Both",165339
"COD",1981,53,"Both",158009.5
"COD",1981,54,"Both",150706
"COD",1981,55,"Both",143516
"COD",1981,56,"Both",136544.5
"COD",1981,57,"Both",129743
"COD",1981,58,"Both",123149.5
"COD",1981,59,"Both",116881.5
"COD",1981,60,"Both",110691
"COD",1981,61,"Both",104591.5
"COD",1981,62,"Both",98634
"COD",1981,63,"Both",92797
"COD",1981,64,"Both",87082.5
"COD",1981,65,"Both",81492
"COD",1981,66,"Both",76007
"COD",1981,67,"Both",70643
"COD",1981,68,"Both",65360.5
"COD",1981,69,"Both",60179
"COD",1981,70,"Both",55092
"COD",1981,71,"Both",50121.5
"COD",1981,72,"Both",45318.5
"COD",1981,73,"Both",40712.5
"COD",1981,74,"Both",36349
"COD",1981,75,"Both",32222
"COD",1981,76,"Both",28327
"COD",1981,77,"Both",24683.5
"COD",1981,78,"Both",21295.5
"COD",1981,79,"Both",18165
"COD",1981,80,"Both",15305.5
"COD",1981,81,"Both",12731
"COD",1981,82,"Both",10447.5
"COD",1981,83,"Both",8464.5
"COD",1981,84,"Both",6779.5
"COD",1981,85,"Both",5355.5
"COD",1981,86,"Both",4161
"COD",1981,87,"Both",3177.5
"COD",1981,88,"Both",2367.5
"COD",1981,89,"Both",1706.5
"COD",1981,90,"Both",1194
"COD",1981,91,"Both",817.5
"COD",1981,92,"Both",548
"COD",1981,93,"Both",361.5
"COD",1981,94,"Both",237.5
"COD",1981,95,"Both",157
"COD",1981,96,"Both",103.5
"COD",1981,97,"Both",70
"COD",1981,98,"Both",47.5
"COD",1981,99,"Both",34.5
"COD",1981,100,"Both",81
"COD",1982,0,"Both",1172978
"COD",1982,1,"Both",1071204
"COD",1982,2,"Both",1005377.5
"COD",1982,3,"Both",942925
"COD",1982,4,"Both",893752
"COD",1982,5,"Both",859751
"COD",1982,6,"Both",830354
"COD",1982,7,"Both",802933.5
"COD",1982,8,"Both",777518.5
"COD",1982,9,"Both",754158.5
"COD",1982,10,"Both",731568
"COD",1982,11,"Both",707837
"COD",1982,12,"Both",683706
"COD",1982,13,"Both",660286.5
"COD",1982,14,"Both",636674
"COD",1982,15,"Both",613066.5
"COD",1982,16,"Both",589961
"COD",1982,17,"Both",567423.5
"COD",1982,18,"Both",545957
"COD",1982,19,"Both",525957
"COD",1982,20,"Both",506806.5
"COD",1982,21,"Both",488637.5
"COD",1982,22,"Both",472273.5
"COD",1982,23,"Both",457254.5
"COD",1982,24,"Both",442199.5
"COD",1982,25,"Both",427054
"COD",1982,26,"Both",412853
"COD",1982,27,"Both",399826
"COD",1982,28,"Both",387482.5
"COD",1983,30,"Both",371834.5
"COD",1983,31,"Both",359161
